Timestamp,Velocidade de produção (m/min),Tensão da corda (N),Torque do motor (Nm),Comprimento da corda (m),Espessura/diâmetro da corda (mm),Torção (twist) (voltas/m),Homogeneidade (score 0-100),Alinhamento de fios (score 0-100),Temperatura (°C),Umidade (%),Vibração de motores (mm/s),Consumo de energia (kWh),Estado de sensores e atuadores,Paradas de emergência,Coberturas ou proteções abertas,Alarmes e falhas
2025-08-07 00:00:00,50.99,206.63,26.64,0.85,10.0,5.01,98.14,99.62,25.14,56.22,0.45,1.61,OK,Não,Não,OK
2025-08-07 00:01:00,49.72,211.73,26.82,1.68,9.99,5.1,98.07,97.23,24.31,55.53,0.51,1.46,OK,Não,Não,OK
2025-08-07 00:02:00,51.3,201.81,29.09,2.53,10.12,4.8,98.81,99.14,26.32,62.19,0.38,1.58,OK,Não,Não,OK
2025-08-07 00:03:00,53.05,187.03,30.69,3.42,9.89,4.72,97.16,98.18,24.62,55.01,0.5,1.57,OK,Não,Não,OK
2025-08-07 00:04:00,49.53,204.0,25.88,4.24,9.92,5.02,96.26,98.25,24.09,60.65,0.38,1.56,OK,Não,Não,OK
2025-08-07 00:05:00,49.53,193.49,29.25,5.07,10.1,4.94,98.16,96.03,22.35,59.65,0.5,1.38,OK,Não,Não,OK
2025-08-07 00:06:00,53.16,194.71,29.21,5.95,9.94,5.13,98.28,95.8,22.37,62.46,0.4,1.51,OK,Não,Não,OK
2025-08-07 00:07:00,51.53,205.86,32.08,6.81,10.09,4.98,99.49,97.78,25.32,59.93,0.48,1.54,OK,Não,Não,OK
2025-08-07 00:08:00,49.06,212.38,29.42,7.63,10.17,5.04,96.73,98.25,24.88,63.6,0.55,1.68,OK,Não,Não,OK
2025-08-07 00:09:00,51.09,200.21,30.57,8.48,9.96,4.68,99.15,96.87,26.33,59.59,0.36,1.51,OK,Não,Não,OK
2025-08-07 00:10:00,49.07,203.09,30.21,9.3,10.07,5.38,100.0,96.91,26.7,62.29,0.5,1.61,OK,Não,Não,OK
2025-08-07 00:11:00,49.07,217.02,26.8,10.12,9.88,4.97,97.62,98.56,24.63,57.0,0.54,1.35,OK,Não,Não,OK
2025-08-07 00:12:00,50.48,202.41,31.15,10.96,10.08,5.14,96.71,98.56,26.42,55.4,0.54,1.43,OK,Não,Não,OK
2025-08-07 00:13:00,46.17,226.02,30.32,11.73,10.02,4.83,97.59,97.86,24.16,59.94,0.69,1.54,OK,Não,Não,OK
2025-08-07 00:14:00,46.55,205.66,30.76,12.5,10.05,5.06,98.01,98.78,24.78,57.2,0.43,1.54,OK,Não,Não,OK
2025-08-07 00:15:00,48.88,182.39,35.89,13.32,9.94,4.74,98.56,96.83,24.73,59.88,0.5,1.43,OK,Não,Não,OK
2025-08-07 00:16:00,47.97,207.53,26.87,14.12,9.83,5.09,97.41,97.64,27.37,59.17,0.67,1.6,OK,Não,Não,OK
2025-08-07 00:17:00,50.63,203.81,32.59,14.96,10.05,4.93,99.56,99.65,23.08,61.21,0.36,1.48,OK,Não,Não,OK
2025-08-07 00:18:00,48.18,212.9,29.57,15.77,9.79,5.01,96.89,98.07,25.09,57.87,0.27,1.48,OK,Não,Não,OK
2025-08-07 00:19:00,47.18,206.73,30.43,16.55,9.97,5.14,96.26,98.13,23.96,60.85,0.55,1.49,OK,Não,Não,OK
2025-08-07 00:20:00,52.93,198.62,29.93,17.43,10.09,4.75,99.11,100.0,24.55,61.73,0.6,1.63,OK,Não,Não,OK
2025-08-07 00:21:00,49.55,187.76,29.36,18.26,10.02,4.86,95.73,96.6,24.49,59.59,0.29,1.61,OK,Não,Não,OK
